times,flux,flux_err
3.225901688589382502e+03,9.998831748962402344e-01,8.555122102388499879e-04
3.225904003516285229e+03,9.985795021057128906e-01,8.555122102388499879e-04
3.225906318443188411e+03,9.997973442077636719e-01,8.555122102388499879e-04
3.225908633370093412e+03,9.988213777542114258e-01,8.555122102388499879e-04
3.225910948296996594e+03,9.992766380310058594e-01,8.555122102388499879e-04
3.225913263223899321e+03,9.988240003585815430e-01,8.555122102388499879e-04
3.225915578150802958e+03,9.995668530464172363e-01,8.555122102388499879e-04
3.225917893077706140e+03,9.979568719863891602e-01,8.555122102388499879e-04
3.225920208008334612e+03,9.997557997703552246e-01,8.555122102388499879e-04
3.225922522934772587e+03,9.979405403137207031e-01,8.555122102388499879e-04
3.225924837861676679e+03,9.998394846916198730e-01,8.555122102388499879e-04
3.225927152788579406e+03,1.000513315200805664e+00,8.555122102388499879e-04
3.225929467715482588e+03,9.996649026870727539e-01,8.555122102388499879e-04
3.225931782641920563e+03,1.000750660896301270e+00,8.555122102388499879e-04
3.225934097568823290e+03,9.998756051063537598e-01,8.555122102388499879e-04
3.225936412495726927e+03,1.000217437744140625e+00,8.555122102388499879e-04
3.225938727422164447e+03,1.000206828117370605e+00,8.555122102388499879e-04
3.225941042349068539e+03,1.001204848289489746e+00,8.555122102388499879e-04
3.225943357275506514e+03,1.000657677650451660e+00,8.555122102388499879e-04
3.225945672202409696e+03,1.000424504280090332e+00,8.555122102388499879e-04
3.225947987128846762e+03,1.001134991645812988e+00,8.555122102388499879e-04
3.225950302055749944e+03,1.000545024871826172e+00,8.555122102388499879e-04
3.225952616982187919e+03,1.001178741455078125e+00,8.555122102388499879e-04
3.225954931909091556e+03,9.995637536048889160e-01,8.555122102388499879e-04
3.225957246835529986e+03,9.995275139808654785e-01,8.555122102388499879e-04
3.225959561761968416e+03,1.000937342643737793e+00,8.555122102388499879e-04
3.225961876688871598e+03,9.997181892395019531e-01,8.555122102388499879e-04
3.225964191615309574e+03,1.000955581665039062e+00,8.555122102388499879e-04
3.225966506541747549e+03,1.000046491622924805e+00,8.555122102388499879e-04
3.225968821468650276e+03,1.000915288925170898e+00,8.555122102388499879e-04
3.225971136395087342e+03,1.000032782554626465e+00,8.555122102388499879e-04
3.225973451321526682e+03,9.982982277870178223e-01,8.555122102388499879e-04
3.225975766247963293e+03,9.996258020401000977e-01,8.555122102388499879e-04
3.225978081174401268e+03,9.983671903610229492e-01,8.555122102388499879e-04
3.225980396100839243e+03,9.994288086891174316e-01,8.555122102388499879e-04
3.225982711027742425e+03,1.000711202621459961e+00,8.555122102388499879e-04
3.225985025954179946e+03,1.000116705894470215e+00,8.555122102388499879e-04
3.225987340880617467e+03,9.997826814651489258e-01,8.555122102388499879e-04
3.225989655807055442e+03,1.001700997352600098e+00,8.555122102388499879e-04
3.225991970733493417e+03,9.990562200546264648e-01,8.555122102388499879e-04
3.225994285659930483e+03,1.002217769622802734e+00,8.555122102388499879e-04
3.225996600586368913e+03,9.999966025352478027e-01,8.555122102388499879e-04
3.225998915512340318e+03,1.000095963478088379e+00,8.555122102388499879e-04
3.226001230438778293e+03,1.001412510871887207e+00,8.555122102388499879e-04
3.226003545365215359e+03,1.001483678817749023e+00,8.555122102388499879e-04
3.226005860291653335e+03,1.000406861305236816e+00,8.555122102388499879e-04
3.226008175218091310e+03,1.000326395034790039e+00,8.555122102388499879e-04
3.226010490144529285e+03,1.000864863395690918e+00,8.555122102388499879e-04
3.226012805070501599e+03,9.997114539146423340e-01,8.555122102388499879e-04
3.226015119996939575e+03,1.000431895256042480e+00,8.555122102388499879e-04
3.226017434923376641e+03,1.000247240066528320e+00,8.555122102388499879e-04
3.226019749849348500e+03,1.000790238380432129e+00,8.555122102388499879e-04
3.226022064775786021e+03,9.992786049842834473e-01,8.555122102388499879e-04
3.226024379702224451e+03,1.000250220298767090e+00,8.555122102388499879e-04
3.226026694628196310e+03,9.999718070030212402e-01,8.555122102388499879e-04
3.226029009554633831e+03,9.993141293525695801e-01,8.555122102388499879e-04
3.226031324480606600e+03,1.000475883483886719e+00,8.555122102388499879e-04
3.226033639407043665e+03,9.992595911026000977e-01,8.555122102388499879e-04
3.226035954333015525e+03,9.987645149230957031e-01,8.555122102388499879e-04
3.226038269259453500e+03,9.997989535331726074e-01,8.555122102388499879e-04
3.226040584185425359e+03,9.988770484924316406e-01,8.555122102388499879e-04
3.226042899111863335e+03,9.998953342437744141e-01,8.555122102388499879e-04
3.226045214037835649e+03,1.000236153602600098e+00,8.555122102388499879e-04
3.226047528964273624e+03,9.994919300079345703e-01,8.555122102388499879e-04
3.226049843890245484e+03,1.000206232070922852e+00,8.555122102388499879e-04
